P_from_Source_N1,P_from_Source_N2,P_from_Source_N3,P_from_Source_N4,P_from_Source_N5,P_from_Source_N6,P_from_Source_N7,P_from_Source_N8,P_from_Source_N9,P_from_Source_N10,P_from_Source_N11
1.0351848507614383,0.37320047615513735,0.08749146371305982,0.02051111055364336,0.004808533778222984,0.0011272914483715633,0.00026427773950476335,6.19583793936827e-05,1.453496774293388e-05,3.4489753991160835e-06,9.854215468994454e-07
1.0287435455273652,0.37841714800381043,0.08871443711452247,0.0207978190115168,0.004875748437367682,0.0011430489565962087,0.000267971867300225,6.282444617787136e-05,1.473814046747828e-05,3.4971858842201445e-06,9.991959787945427e-07
1.0222935606598667,0.38363430209852073,0.08993752357161408,0.021084553973727566,0.004942969310047667,0.0011588079214807467,0.0002716663365564463,6.36905930082297e-05,1.4941331956712479e-05,3.5454008084732538e-06,1.0129716663851874e-06
1.0158349864902496,0.38885185111763393,0.09116070261303079,0.021371310640954218,0.005010195271177413,0.0011745680792760549,0.0002753610854967435,6.455680541773017e-05,1.5144538850324452e-05,3.5936193936978892e-06,1.0267483974411464e-06
1.0093679140834297,0.3940697075434326,0.09238395372148553,0.021658084203246115,0.0050774251930892625,0.0011903291655963198,0.0002790560521145167,6.542306886860177e-05,1.534775773494461e-05,3.6418408263448225e-06,1.040525959732186e-06
1.0028924352305923,0.39928778367173745,0.09360725633604257,0.021944869840412513,0.005144657945781022,0.0012060909155958963,0.0002827511743147369,6.628936875233009e-05,1.5550985108774107e-05,3.6900642751789727e-06,1.0543040879705146e-06
0.9964086424412513,0.40450599162094475,0.09483058985408058,0.022231662722464702,0.005211892396951339,0.001221853063721705,0.0002864463898608881,6.715569056651588e-05,1.5754217682244323e-05,3.7382889443369654e-06,1.0680825522400462e-06
0.9899166289355913,0.4097242433414173,0.09605393363368028,0.022518458010181958,0.0052791274120704435,0.0012376153441376924,0.0002901416363926533,6.802201961421544e-05,1.5957451918184698e-05,3.7865140202695717e-06,1.0818611579964e-06
0.9834164886365621,0.4149424506250175,0.0972772669956937,0.02280525085564212,0.005346361854645436,0.0012533774902649996,0.00029383685147897225,6.88883413222861e-05,1.6160684473969058e-05,3.8347386894275635e-06,1.0956396399517843e-06
0.9769083161619371,0.42016052511481655,0.09850056922613168,0.023092036402752154,0.005413594586237973,0.0012691392352948516,0.00029753197251192615,6.97546409584125e-05,1.6363911812426848e-05,3.882962120575862e-06,1.1094177505042602e-06
0.9703922068154183,0.4253783783141674,0.09972381957818019,0.02337880978772569,0.005480824466588068,0.0012849003118878975,0.00030122693686591024,7.06209038787085e-05,1.6567130537874332e-05,3.931183535536942e-06,1.1231952951094471e-06
