N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
1.235625,0.2643749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.224375,0.275625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.213125,0.286875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.201875,0.298125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1906249999999998,0.3093749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.179375,0.320625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.168125,0.331875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.156875,0.343125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.145625,0.354375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134375,0.365625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.123125,0.3768749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.111875,0.3881249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.100625,0.399375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.089375,0.410625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.078125,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2845,0.1155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2815,0.1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2785,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2755,0.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2725,0.1275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2695,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2665,0.1335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2635,0.1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2605,0.1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2575,0.1425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2545,0.1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2515,0.1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2485,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2455,0.1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2425,0.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2395,0.1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2365,0.1635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2335,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2305,0.1695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2275,0.1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2245,0.1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2215,0.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2185,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2155,0.1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
